ID Mascarado;Cargo;Idade;Tempo de Empresa;Gênero;Planta Base Origem;Salário Mensal
49;Operador de Máquinas I;35;16;Masculino;Planta B - Rio de Janeiro;3382
50;Operador de Máquinas I;48;22;Feminino;Planta C - São Paulo;2166
51;Montador de Carros I;29;2;Masculino;Planta D - Rio Grande do Sul;2794
52;Montador de Carros II;46;27;Feminino;Planta B - Rio de Janeiro;3535
53;Montador de Carros II;42;11;Feminino;Planta E - São Paulo;3721
54;Operador de Máquinas II;57;38;Masculino;Planta B - Rio de Janeiro;3523
55;Operador de Máquinas II;36;12;Masculino;Planta E - São Paulo;4657
56;Operador de Máquinas II;56;27;Masculino;Planta B - Rio de Janeiro;4761
57;Operador de Máquinas II;21;2;Feminino;Planta C - São Paulo;4042
58;Montador de Carros II;61;34;Feminino;Planta E - São Paulo;4736
59;Operador de Máquinas I;46;26;Feminino;Planta E - São Paulo;2937
60;Montador de Carros I;20;1;Feminino;Planta B - Rio de Janeiro;2762
61;Operador de Máquinas II;38;11;Masculino;Planta D - Rio Grande do Sul;3924
62;Montador de Carros I;27;1;Masculino;Planta A - Bahia;2242
63;Montador de Carros II;40;6;Masculino;Planta C - São Paulo;3574
64;Montador de Carros II;29;4;Masculino;Planta A - Bahia;4073
65;Montador de Carros I;39;12;Feminino;Planta E - São Paulo;1894
66;Montador de Carros II;27;0;Masculino;Planta D - Rio Grande do Sul;4786
67;Operador de Máquinas II;45;15;Masculino;Planta E - São Paulo;4298
68;Técnico de Qualidade I;59;32;Masculino;Planta A - Bahia;2672
69;Montador de Carros I;44;15;Feminino;Planta C - São Paulo;2154
70;Operador de Máquinas II;28;0;Feminino;Planta E - São Paulo;3025
71;Operador de Máquinas II;30;3;Masculino;Planta E - São Paulo;4020
72;Operador de Máquinas I;53;33;Feminino;Planta B - Rio de Janeiro;3328
73;Operador de Máquinas I;22;4;Masculino;Planta E - São Paulo;2838
74;Montador de Carros II;59;27;Masculino;Planta E - São Paulo;3983
75;Montador de Carros I;34;1;Masculino;Planta A - Bahia;2397
76;Operador de Máquinas II;19;1;Feminino;Planta C - São Paulo;4663
77;Técnico de Robótica Especialista;22;1;Feminino;Planta E - São Paulo;2619
78;Montador de Carros I;19;1;Feminino;Planta C - São Paulo;2321
79;Operador de Máquinas I;29;10;Feminino;Planta B - Rio de Janeiro;2503
80;Montador de Carros II;44;26;Feminino;Planta E - São Paulo;3737
81;Montador de Carros I;61;27;Masculino;Planta C - São Paulo;2176
82;Operador de Máquinas I;48;12;Feminino;Planta E - São Paulo;2495
83;Operador de Máquinas I;28;0;Masculino;Planta B - Rio de Janeiro;1935
84;Operador de Máquinas I;48;26;Masculino;Planta E - São Paulo;1825
85;Técnico de Robótica I;24;6;Masculino;Planta B - Rio de Janeiro;1823
86;Montador de Carros II;56;38;Feminino;Planta E - São Paulo;3758
87;Montador de Carros II;45;21;Masculino;Planta B - Rio de Janeiro;3731
88;Operador de Máquinas II;23;4;Masculino;Planta A - Bahia;4783
89;Operador de Máquinas II;27;5;Feminino;Planta B - Rio de Janeiro;4500
90;Operador de Máquinas II;47;12;Masculino;Planta E - São Paulo;3034
91;Montador de Carros II;30;0;Masculino;Planta A - Bahia;3053
92;Montador de Carros I;53;31;Feminino;Planta D - Rio Grande do Sul;2123
93;Montador de Carros I;43;22;Masculino;Planta B - Rio de Janeiro;1958
94;Operador de Máquinas I;40;6;Masculino;Planta B - Rio de Janeiro;2769
95;Operador de Máquinas I;58;30;Masculino;Planta E - São Paulo;2251
96;Montador de Carros II;47;25;Masculino;Planta C - São Paulo;3232
97;Montador de Carros I;20;1;Masculino;Planta C - São Paulo;3245
98;Operador de Máquinas I;64;29;Feminino;Planta C - São Paulo;2004
99;Operador de Máquinas II;41;11;Masculino;Planta B - Rio de Janeiro;3539
100;Operador de Máquinas I;35;10;Feminino;Planta A - Bahia;3398
101;Montador de Carros I;55;23;Feminino;Planta E - São Paulo;3156
102;Operador de Máquinas II;28;1;Feminino;Planta B - Rio de Janeiro;4131
103;Operador de Máquinas II;57;27;Feminino;Planta B - Rio de Janeiro;3930
104;Técnico de Manutenção Industrial II;52;22;Masculino;Planta B - Rio de Janeiro;3040
105;Operador de Máquinas I;21;2;Feminino;Planta D - Rio Grande do Sul;3139
106;Montador de Carros I;41;11;Masculino;Planta E - São Paulo;2546
107;Montador de Carros I;48;20;Feminino;Planta C - São Paulo;3095
108;Operador de Máquinas II;48;29;Feminino;Planta C - São Paulo;4271
109;Montador de Carros II;18;0;Masculino;Planta C - São Paulo;3584
110;Montador de Carros I;57;37;Masculino;Planta D - Rio Grande do Sul;2633
111;Montador de Carros I;41;14;Feminino;Planta B - Rio de Janeiro;2811
112;Operador de Máquinas II;27;2;Masculino;Planta B - Rio de Janeiro;4249
113;Montador de Carros I;50;15;Masculino;Planta E - São Paulo;2811
114;Operador de Máquinas I;20;2;Feminino;Planta B - Rio de Janeiro;2540
115;Técnico de Qualidade II;25;6;Feminino;Planta E - São Paulo;3167
116;Operador de Máquinas II;53;28;Feminino;Planta C - São Paulo;3091
117;Montador de Carros I;48;27;Feminino;Planta E - São Paulo;2592
118;Montador de Carros II;61;31;Masculino;Planta E - São Paulo;3817
119;Técnico de Robótica I;24;6;Feminino;Planta C - São Paulo;2930
120;Montador de Carros I;59;30;Masculino;Planta D - Rio Grande do Sul;2991
121;Engenheiro de Produção Sênior;33;19;Masculino;Planta C - São Paulo;11901
122;Técnico de Manutenção Industrial II;34;12;Masculino;Planta E - São Paulo;3342
123;Montador de Carros II;18;0;Masculino;Planta D - Rio Grande do Sul;4690
124;Operador de Máquinas II;27;3;Feminino;Planta D - Rio Grande do Sul;4078
125;Operador de Máquinas I;64;44;Feminino;Planta A - Bahia;2199
126;Montador de Carros I;36;18;Masculino;Planta A - Bahia;3407
127;Engenheiro de Produção Sênior;40;11;Feminino;Planta E - São Paulo;13209
128;Montador de Carros II;44;12;Feminino;Planta A - Bahia;3381
129;Engenheiro de Produção Jr;31;13;Feminino;Planta B - Rio de Janeiro;5283
130;Montador de Carros I;51;16;Feminino;Planta E - São Paulo;3413
131;Montador de Carros I;63;41;Feminino;Planta D - Rio Grande do Sul;2219
132;Operador de Máquinas I;26;2;Feminino;Planta B - Rio de Janeiro;2596
133;Operador de Empilhadeira;35;10;Masculino;Planta E - São Paulo;2994
134;Técnico de Robótica I;24;6;Masculino;Planta C - São Paulo;2063
135;Operador de Máquinas I;33;0;Masculino;Planta D - Rio Grande do Sul;3477
136;Montador de Carros II;60;26;Feminino;Planta E - São Paulo;3126
137;Operador de Máquinas II;26;0;Feminino;Planta C - São Paulo;3150
138;Montador de Carros II;32;0;Feminino;Planta B - Rio de Janeiro;3435
139;Montador de Carros II;27;8;Masculino;Planta B - Rio de Janeiro;3101
140;Montador de Carros I;18;0;Masculino;Planta A - Bahia;3307
141;Montador de Carros II;61;36;Feminino;Planta C - São Paulo;4925
142;Montador de Carros I;32;0;Masculino;Planta D - Rio Grande do Sul;3256
143;Operador de Máquinas II;21;1;Masculino;Planta B - Rio de Janeiro;3325
144;Operador de Máquinas I;45;23;Feminino;Planta C - São Paulo;3024
145;Montador de Carros I;48;21;Masculino;Planta A - Bahia;2088
146;Operador de Máquinas II;27;6;Feminino;Planta B - Rio de Janeiro;4267
147;Montador de Carros II;27;1;Feminino;Planta E - São Paulo;3727
148;Operador de Empilhadeira;44;11;Masculino;Planta B - Rio de Janeiro;2868
149;Técnico de Manutenção Industrial II;26;6;Masculino;Planta C - São Paulo;3003
150;Operador de Máquinas II;26;5;Feminino;Planta C - São Paulo;3850
151;Engenheiro de Produção Sênior;40;18;Feminino;Planta C - São Paulo;13435
152;Operador de Máquinas I;61;40;Masculino;Planta E - São Paulo;2888
153;Montador de Carros I;48;15;Feminino;Planta C - São Paulo;3163
154;Operador de Máquinas II;40;8;Masculino;Planta B - Rio de Janeiro;3043
155;Operador de Máquinas II;21;1;Masculino;Planta E - São Paulo;4928
156;Montador de Carros I;25;5;Feminino;Planta C - São Paulo;1806
157;Montador de Carros I;62;36;Masculino;Planta C - São Paulo;2616
158;Montador de Carros I;59;31;Feminino;Planta E - São Paulo;2811
159;Montador de Carros II;29;1;Masculino;Planta E - São Paulo;3690
160;Montador de Carros I;26;4;Masculino;Planta E - São Paulo;2167
161;Montador de Carros I;39;8;Masculino;Planta B - Rio de Janeiro;2034
162;Técnico de Qualidade I;49;17;Feminino;Planta D - Rio Grande do Sul;2755
163;Montador de Carros II;23;3;Masculino;Planta C - São Paulo;3955
164;Montador de Carros I;25;3;Feminino;Planta A - Bahia;2218
165;Montador de Carros I;43;22;Feminino;Planta D - Rio Grande do Sul;2943
166;Técnico de Robótica Especialista;33;1;Feminino;Planta B - Rio de Janeiro;2975
167;Operador de Máquinas II;63;35;Feminino;Planta E - São Paulo;3375
168;Técnico de Qualidade II;29;1;Feminino;Planta A - Bahia;4606
169;Montador de Carros I;38;13;Feminino;Planta C - São Paulo;2554
170;Engenheiro de Produção Sênior;46;14;Feminino;Planta D - Rio Grande do Sul;13254
171;Técnico de Qualidade II;58;26;Feminino;Planta D - Rio Grande do Sul;4148
172;Montador de Carros II;45;14;Feminino;Planta B - Rio de Janeiro;4761
173;Montador de Carros II;38;20;Feminino;Planta C - São Paulo;4895
174;Operador de Empilhadeira;62;39;Feminino;Planta C - São Paulo;2132
175;Montador de Carros II;23;3;Masculino;Planta B - Rio de Janeiro;4862
176;Montador de Carros II;54;29;Feminino;Planta C - São Paulo;3707
177;Montador de Carros II;32;13;Feminino;Planta A - Bahia;4315
178;Operador de Máquinas II;55;21;Masculino;Planta E - São Paulo;3945
179;Operador de Máquinas I;55;32;Masculino;Planta E - São Paulo;3346
180;Operador de Máquinas I;35;7;Masculino;Planta A - Bahia;2875
181;Montador de Carros I;59;31;Masculino;Planta B - Rio de Janeiro;1952
182;Montador de Carros II;54;21;Feminino;Planta D - Rio Grande do Sul;4248
183;Operador de Máquinas I;19;0;Masculino;Planta B - Rio de Janeiro;3153
184;Montador de Carros I;28;6;Feminino;Planta E - São Paulo;2743
185;Técnico de Robótica Especialista;34;1;Masculino;Planta A - Bahia;2956
186;Montador de Carros II;45;19;Masculino;Planta E - São Paulo;4125
187;Montador de Carros I;18;0;Feminino;Planta E - São Paulo;2373
188;Montador de Carros II;36;8;Masculino;Planta C - São Paulo;3283
189;Montador de Carros II;61;30;Masculino;Planta C - São Paulo;3790
190;Montador de Carros I;20;0;Feminino;Planta C - São Paulo;2488
191;Operador de Máquinas II;40;12;Masculino;Planta B - Rio de Janeiro;3538
192;Montador de Carros II;61;37;Feminino;Planta D - Rio Grande do Sul;3237
193;Operador de Máquinas I;28;4;Feminino;Planta C - São Paulo;2798
194;Técnico de Qualidade I;46;21;Masculino;Planta A - Bahia;2553
195;Montador de Carros II;28;2;Masculino;Planta A - Bahia;4463
196;Técnico de Qualidade II;56;27;Feminino;Planta E - São Paulo;3730
197;Operador de Máquinas II;64;36;Feminino;Planta E - São Paulo;4353
198;Montador de Carros I;20;2;Feminino;Planta A - Bahia;2615
199;Montador de Carros II;60;35;Feminino;Planta C - São Paulo;4454
200;Montador de Carros I;19;1;Masculino;Planta B - Rio de Janeiro;2989
201;Montador de Carros I;23;1;Masculino;Planta D - Rio Grande do Sul;2903
202;Montador de Carros II;28;8;Feminino;Planta C - São Paulo;4080
203;Montador de Carros II;60;32;Feminino;Planta C - São Paulo;3544
204;Montador de Carros I;47;18;Masculino;Planta B - Rio de Janeiro;1820
205;Técnico de Qualidade I;26;8;Feminino;Planta C - São Paulo;2035
206;Técnico de Robótica I;24;6;Feminino;Planta C - São Paulo;2822
207;Operador de Máquinas II;62;32;Feminino;Planta C - São Paulo;3294
208;Montador de Carros I;57;34;Feminino;Planta E - São Paulo;3401
209;Montador de Carros I;52;34;Feminino;Planta C - São Paulo;2048
210;Montador de Carros II;19;1;Feminino;Planta E - São Paulo;3396
211;Operador de Máquinas I;52;32;Feminino;Planta E - São Paulo;2635
212;Operador de Máquinas II;24;0;Masculino;Planta B - Rio de Janeiro;3118
213;Montador de Carros II;58;23;Feminino;Planta B - Rio de Janeiro;4103
214;Técnico de Manutenção Industrial II;31;2;Feminino;Planta A - Bahia;4656
215;Montador de Carros I;30;3;Feminino;Planta B - Rio de Janeiro;3080
216;Montador de Carros II;22;1;Masculino;Planta A - Bahia;4715
217;Operador de Máquinas I;30;4;Feminino;Planta C - São Paulo;2291
218;Operador de Máquinas II;49;30;Masculino;Planta D - Rio Grande do Sul;3208
219;Montador de Carros I;30;11;Masculino;Planta B - Rio de Janeiro;1867
220;Técnico de Qualidade II;43;11;Masculino;Planta C - São Paulo;4366
221;Operador de Máquinas I;46;22;Masculino;Planta E - São Paulo;3462
222;Técnico de Manutenção Industrial II;44;12;Masculino;Planta E - São Paulo;4564
223;Operador de Máquinas I;44;17;Masculino;Planta E - São Paulo;2553
224;Montador de Carros I;33;11;Feminino;Planta D - Rio Grande do Sul;1860
225;Montador de Carros I;46;12;Feminino;Planta E - São Paulo;3051
226;Operador de Máquinas I;32;14;Masculino;Planta C - São Paulo;2292
227;Montador de Carros I;55;30;Masculino;Planta B - Rio de Janeiro;3043
228;Montador de Carros II;64;39;Masculino;Planta A - Bahia;3920
229;Montador de Carros I;28;3;Feminino;Planta E - São Paulo;3120
230;Operador de Máquinas I;47;16;Feminino;Planta B - Rio de Janeiro;3155
231;Montador de Carros II;34;6;Masculino;Planta C - São Paulo;3366
232;Montador de Carros I;37;12;Masculino;Planta D - Rio Grande do Sul;3087
233;Montador de Carros I;58;38;Masculino;Planta D - Rio Grande do Sul;2667
234;Montador de Carros I;24;1;Feminino;Planta E - São Paulo;2770
235;Operador de Máquinas II;34;9;Feminino;Planta B - Rio de Janeiro;4320
236;Operador de Máquinas II;34;12;Feminino;Planta E - São Paulo;3837
237;Técnico de Qualidade II;44;12;Masculino;Planta C - São Paulo;3668
238;Técnico de Manutenção Industrial II;51;32;Masculino;Planta A - Bahia;3033
239;Montador de Carros II;46;12;Masculino;Planta D - Rio Grande do Sul;4361
240;Montador de Carros I;62;40;Feminino;Planta B - Rio de Janeiro;3372
241;Montador de Carros I;61;27;Feminino;Planta E - São Paulo;1874
242;Montador de Carros I;41;21;Masculino;Planta C - São Paulo;3305
243;Montador de Carros II;35;11;Feminino;Planta B - Rio de Janeiro;3659
244;Operador de Máquinas II;22;2;Feminino;Planta E - São Paulo;3030
245;Operador de Máquinas II;22;2;Feminino;Planta B - Rio de Janeiro;3580
246;Operador de Máquinas I;52;34;Feminino;Planta E - São Paulo;2938
247;Operador de Máquinas II;42;7;Feminino;Planta D - Rio Grande do Sul;4455
248;Operador de Máquinas II;53;23;Feminino;Planta A - Bahia;4887
249;Operador de Máquinas II;34;11;Feminino;Planta C - São Paulo;4222
250;Montador de Carros II;47;19;Feminino;Planta C - São Paulo;4755
251;Operador de Máquinas II;45;20;Feminino;Planta B - Rio de Janeiro;3249
252;Montador de Carros I;23;5;Masculino;Planta D - Rio Grande do Sul;3015
253;Montador de Carros II;62;40;Masculino;Planta C - São Paulo;4335
254;Montador de Carros I;61;38;Masculino;Planta E - São Paulo;3035
255;Operador de Máquinas II;46;23;Feminino;Planta E - São Paulo;4832
256;Técnico de Robótica Especialista;22;3;Masculino;Planta D - Rio Grande do Sul;2190
257;Operador de Máquinas II;47;27;Feminino;Planta D - Rio Grande do Sul;4786
258;Operador de Máquinas II;21;0;Masculino;Planta B - Rio de Janeiro;4946
259;Montador de Carros II;38;3;Masculino;Planta B - Rio de Janeiro;3014
260;Montador de Carros I;20;1;Feminino;Planta B - Rio de Janeiro;3248
261;Montador de Carros I;35;6;Masculino;Planta C - São Paulo;3466
262;Técnico de Robótica I;24;6;Masculino;Planta E - São Paulo;1814
263;Montador de Carros II;49;24;Feminino;Planta B - Rio de Janeiro;3158
264;Montador de Carros II;64;41;Feminino;Planta A - Bahia;3792
265;Operador de Máquinas II;26;2;Feminino;Planta B - Rio de Janeiro;3568
266;Montador de Carros II;33;4;Masculino;Planta E - São Paulo;4504
267;Montador de Carros II;22;4;Masculino;Planta C - São Paulo;4746
268;Montador de Carros I;38;18;Masculino;Planta C - São Paulo;2090
269;Operador de Máquinas II;47;16;Feminino;Planta E - São Paulo;4685
270;Operador de Máquinas I;47;12;Feminino;Planta D - Rio Grande do Sul;2173
271;Montador de Carros II;63;39;Masculino;Planta C - São Paulo;3099
272;Técnico de Qualidade II;40;19;Feminino;Planta C - São Paulo;4894
273;Operador de Máquinas I;62;40;Feminino;Planta B - Rio de Janeiro;2082
274;Operador de Máquinas II;41;10;Masculino;Planta B - Rio de Janeiro;4814
275;Operador de Máquinas I;37;14;Masculino;Planta E - São Paulo;1835
276;Técnico de Robótica I;24;6;Feminino;Planta E - São Paulo;2189
277;Montador de Carros I;56;37;Masculino;Planta B - Rio de Janeiro;3319
278;Operador de Máquinas II;23;2;Feminino;Planta D - Rio Grande do Sul;3823
279;Montador de Carros I;18;0;Masculino;Planta B - Rio de Janeiro;2602
280;Engenheiro de Produção Sênior;31;2;Masculino;Planta B - Rio de Janeiro;13168
281;Montador de Carros II;54;20;Feminino;Planta B - Rio de Janeiro;3288
282;Operador de Máquinas I;57;35;Masculino;Planta C - São Paulo;2369
283;Operador de Máquinas I;28;10;Masculino;Planta E - São Paulo;3412
284;Operador de Máquinas II;38;7;Feminino;Planta E - São Paulo;4419
285;Operador de Máquinas I;55;34;Feminino;Planta A - Bahia;3289
286;Montador de Carros I;60;30;Feminino;Planta A - Bahia;3102
287;Operador de Máquinas II;33;12;Masculino;Planta C - São Paulo;3496
288;Montador de Carros II;58;24;Feminino;Planta E - São Paulo;3943
289;Operador de Máquinas II;19;1;Feminino;Planta C - São Paulo;4567
290;Operador de Empilhadeira;42;10;Masculino;Planta C - São Paulo;2295
291;Operador de Máquinas I;49;15;Feminino;Planta C - São Paulo;2725
292;Montador de Carros II;34;11;Masculino;Planta D - Rio Grande do Sul;4636
293;Operador de Máquinas I;36;10;Feminino;Planta C - São Paulo;3319
294;Operador de Máquinas I;40;6;Feminino;Planta A - Bahia;3229
295;Operador de Máquinas II;30;2;Feminino;Planta D - Rio Grande do Sul;3770
296;Montador de Carros II;43;16;Feminino;Planta A - Bahia;3498
297;Montador de Carros II;53;30;Masculino;Planta E - São Paulo;3806
298;Montador de Carros I;53;32;Masculino;Planta C - São Paulo;2277
299;Montador de Carros II;29;1;Masculino;Planta D - Rio Grande do Sul;3595
300;Operador de Máquinas II;43;15;Feminino;Planta D - Rio Grande do Sul;4949
301;Montador de Carros II;34;6;Feminino;Planta B - Rio de Janeiro;4067
302;Técnico de Robótica Especialista;24;3;Feminino;Planta A - Bahia;2187
303;Operador de Máquinas I;29;7;Masculino;Planta C - São Paulo;2618
304;Operador de Máquinas I;24;4;Masculino;Planta C - São Paulo;1943
305;Operador de Máquinas II;57;30;Feminino;Planta E - São Paulo;4485
306;Montador de Carros II;31;0;Feminino;Planta C - São Paulo;4615
307;Técnico de Manutenção Industrial II;51;21;Feminino;Planta D - Rio Grande do Sul;4707
308;Operador de Máquinas II;60;37;Feminino;Planta D - Rio Grande do Sul;4760
309;Montador de Carros II;62;40;Feminino;Planta E - São Paulo;3957
310;Operador de Máquinas II;54;20;Masculino;Planta B - Rio de Janeiro;3069
311;Montador de Carros II;20;0;Feminino;Planta B - Rio de Janeiro;4303
312;Montador de Carros I;18;0;Masculino;Planta B - Rio de Janeiro;2057
313;Montador de Carros II;34;0;Feminino;Planta E - São Paulo;4113
314;Operador de Máquinas II;60;36;Feminino;Planta B - Rio de Janeiro;4741
315;Engenheiro de Produção Sênior;30;9;Masculino;Planta E - São Paulo;12821
316;Montador de Carros I;55;21;Masculino;Planta B - Rio de Janeiro;2963
317;Montador de Carros II;48;22;Masculino;Planta B - Rio de Janeiro;3654
318;Técnico de Qualidade I;58;35;Masculino;Planta C - São Paulo;2655
319;Montador de Carros II;64;44;Masculino;Planta B - Rio de Janeiro;4057
320;Operador de Máquinas II;44;20;Feminino;Planta C - São Paulo;4976
321;Engenheiro de Produção Sênior;40;15;Masculino;Planta E - São Paulo;12620
322;Operador de Máquinas I;30;3;Masculino;Planta A - Bahia;2837
323;Técnico de Qualidade I;48;28;Masculino;Planta C - São Paulo;3406
324;Montador de Carros II;23;3;Masculino;Planta B - Rio de Janeiro;3757
325;Técnico de Robótica I;24;6;Feminino;Planta E - São Paulo;2720
326;Montador de Carros I;24;5;Masculino;Planta A - Bahia;1878
327;Montador de Carros I;30;4;Feminino;Planta C - São Paulo;3315
328;Montador de Carros II;34;3;Masculino;Planta A - Bahia;3597
329;Montador de Carros I;24;3;Feminino;Planta A - Bahia;2643
330;Montador de Carros II;24;3;Feminino;Planta B - Rio de Janeiro;3291
331;Montador de Carros II;35;16;Feminino;Planta C - São Paulo;4203
332;Técnico de Qualidade II;26;3;Feminino;Planta E - São Paulo;4649
333;Montador de Carros I;26;2;Masculino;Planta C - São Paulo;2095
334;Operador de Máquinas I;23;3;Feminino;Planta C - São Paulo;3105
335;Operador de Empilhadeira;62;42;Feminino;Planta A - Bahia;2895
336;Operador de Empilhadeira;50;32;Feminino;Planta A - Bahia;1964
337;Técnico de Robótica I;24;6;Feminino;Planta E - São Paulo;3042
338;Montador de Carros I;20;1;Feminino;Planta C - São Paulo;3304
339;Operador de Máquinas I;37;3;Masculino;Planta C - São Paulo;2596
340;Técnico de Qualidade II;34;16;Masculino;Planta C - São Paulo;4254
341;Montador de Carros I;63;39;Feminino;Planta C - São Paulo;2984
342;Montador de Carros II;60;28;Masculino;Planta E - São Paulo;3547
343;Engenheiro de Produção Sênior;32;2;Feminino;Planta D - Rio Grande do Sul;13261
344;Montador de Carros II;47;16;Masculino;Planta E - São Paulo;4682
345;Montador de Carros II;59;41;Feminino;Planta C - São Paulo;3995
346;Operador de Empilhadeira;21;2;Masculino;Planta C - São Paulo;2851
347;Operador de Máquinas I;44;12;Feminino;Planta C - São Paulo;1855
348;Montador de Carros I;21;2;Masculino;Planta C - São Paulo;2436
349;Montador de Carros I;44;26;Feminino;Planta A - Bahia;2879
350;Montador de Carros I;49;27;Masculino;Planta E - São Paulo;1883
351;Operador de Máquinas I;54;36;Feminino;Planta B - Rio de Janeiro;2108
352;Operador de Máquinas I;33;5;Masculino;Planta C - São Paulo;3254
353;Operador de Máquinas I;18;0;Feminino;Planta E - São Paulo;3209
354;Montador de Carros I;38;6;Masculino;Planta B - Rio de Janeiro;2407
355;Montador de Carros II;64;37;Feminino;Planta A - Bahia;4129
356;Engenheiro de Produção Sênior;36;9;Masculino;Planta E - São Paulo;13267
357;Operador de Máquinas I;21;1;Masculino;Planta C - São Paulo;3483
358;Operador de Máquinas I;18;0;Feminino;Planta E - São Paulo;2791
359;Técnico de Manutenção Industrial II;35;15;Feminino;Planta A - Bahia;4833
360;Técnico de Qualidade I;32;3;Feminino;Planta D - Rio Grande do Sul;2841
361;Engenheiro de Produção Jr;25;5;Masculino;Planta B - Rio de Janeiro;5122
362;Operador de Máquinas I;43;22;Feminino;Planta D - Rio Grande do Sul;2509
363;Montador de Carros II;56;32;Masculino;Planta D - Rio Grande do Sul;4166
364;Operador de Máquinas II;31;0;Feminino;Planta A - Bahia;4648
365;Montador de Carros II;30;12;Feminino;Planta E - São Paulo;4803
366;Operador de Máquinas II;59;25;Masculino;Planta C - São Paulo;4894
367;Montador de Carros II;46;25;Masculino;Planta E - São Paulo;4923
368;Montador de Carros I;27;6;Masculino;Planta E - São Paulo;2317
369;Montador de Carros I;23;2;Feminino;Planta C - São Paulo;2430
370;Operador de Máquinas II;30;3;Feminino;Planta C - São Paulo;3966
371;Montador de Carros I;26;7;Masculino;Planta B - Rio de Janeiro;2406
372;Operador de Máquinas II;41;19;Masculino;Planta C - São Paulo;3738
373;Operador de Máquinas II;32;9;Masculino;Planta C - São Paulo;4611
374;Operador de Máquinas I;18;0;Masculino;Planta D - Rio Grande do Sul;2491
375;Montador de Carros II;40;13;Masculino;Planta B - Rio de Janeiro;3748
376;Montador de Carros II;37;7;Feminino;Planta E - São Paulo;4165
